matched_company,family_id,publication_number,earliest_date,assignee,title,country_code,cpc_codes
Samsung,95475686,KR-20250046147-A,20250402,SAMSUNG ELECTRONICS CO LTD,Method of Detecting Potential Risk Feature in Semiconductor Layout Utilizing Image Explainer and Computing Device performing the same,KR,G06F2119/22;G06V10/766;G06N5/045;G06F30/27;G06F30/392;G06F30/398;G06F2119/22;G06V10/766;G06N5/045;G06F30/392;G06F30/27;G06F30/398
Samsung,94975315,KR-20250041975-A,20250320,SAMSUNG ELECTRONICS CO LTD,Electronic device supporting manufacture of semiconductor device and operating method of electronic device,KR,G06T2207/30148;H01L21/67011;G06T7/13;G06T7/0004;G06N5/04;G06N3/045;G06N3/096;G06F30/398;G06F2119/18;G06F30/27;G06F30/398;G06F2119/18;G06F30/392;G06F30/392;G06T2207/30148;H01L21/67011;G06T7/13;G06T7/0004;G06N5/04;G06N3/045;G06N3/096
Samsung,94773906,US-2025076847-A1,20250306,SAMSUNG ELECTRONICS CO LTD,Method and computing device for manufacturing semiconductor device using transformer model,US,G06N3/08;G06N3/0455;H10D89/10;G03F7/70441;G06F30/392;G06F30/398;G05B2219/45031;G05B19/4099;G05B2219/45031;G05B19/4099;G05B2219/45031;G05B19/4099
Samsung,94080029,KR-20240177441-A,20241227,SAMSUNG ELECTRONICS CO LTD,Layoyt design method of semiconductor device and system thereof,KR,G06F2111/04;H10D89/10;G06N20/00;G06F30/27;G06F30/398;G06F30/394;G06F30/392;G06F2111/04;H01L27/0207;G06N20/00;G06F30/398;G06F30/394;G06F30/27;G06F30/392
Samsung,91301894,US-2024403800-A1,20241204,SAMSUNG SDS CO LTD,Device and method for generating logistics center layout,US,G06N5/01;G06Q10/06315;G06Q10/10;G06Q10/0838;G06Q10/08;G06Q10/043;G06F2111/20;G06F30/13;G06Q10/04;G06Q10/08;G06Q10/08;G06Q10/087;G06F2111/20;G06F30/13;G06Q10/08
Samsung,93703640,KR-20240167368-A,20241126,SAMSUNG SDS CO LTD,Method for routing in multi-layer structure and system therefor,KR,G06F2111/06;G06N3/126;G06N3/08;G06F30/27;G06F30/398;G06F30/394;G06N3/08;G06N3/045;G06F30/398;G06F30/27;G06F30/394
Samsung,93464591,US-2024386182-A1,20241121,SAMSUNG SDS CO LTD,Routing method and system in multilayer structure,US,G06N5/01;G06N3/045;G06N3/126;G06F30/394;G06N20/00;G06N20/00;G06F30/394;G06N20/00;G06F30/394
Samsung,91072784,EP-4471684-A3,20241112,SAMSUNG ELECTRONICS CO LTD,Semiconductor component provision server,EP,G06F30/333;H01L21/67276;G06N20/00;G06Q30/0619;G06Q30/0633;G05B19/418;G06Q10/10;G06Q10/063;G06Q50/10;G06F30/34;G06F30/333;G06Q10/0875;G06Q30/0633;G06Q30/0623;G06Q30/0605;G06Q30/0611;G06Q30/0282;G06Q10/087;G06Q50/04;G06Q30/0635;G06Q30/0631;G06Q20/085;H04L67/10;G06F16/285;G06F16/252;G06F16/2282;G06F30/34;G06Q50/04;G06Q50/04;G06F21/6218
Samsung,93116624,KR-20240143546-A,20241002,SAMSUNG ELECTRONICS CO LTD,"Ml 기반 ppc 방법, 및 그 ppc 방법을 포함한 opc 방법과 마스크 제조방법",KR,G06F2119/02;G06F2117/12;G06F18/2321;G06N20/00;G06F30/27;G06F30/398;G06F30/392;G06F2119/02;G06F2117/12;G06N20/00;G06F30/398;G06F30/27;G06F18/2321;G06F30/392
Samsung,90799452,TW-202418136-A,20240430,SAMSUNG ELECTRONICS CO LTD,"Non-transitory computer readable medium, automated simulation generation device and system for automatically designing semiconductor device",TW,G05B2219/32368;G05B2219/32193;G06F2119/22;G06N3/08;G06F16/903;G05B2219/32194;G05B2219/32368;G05B2219/32193;G05B2219/45031;G06F2115/12;G06F2111/20;G06N3/08;G06F18/22;G05B19/41875;G06F30/27;G05B19/41875;G06F30/3308
Samsung,90626489,KR-20240052351-A,20240416,SAMSUNG ELECTRONICS CO LTD,Layout design system using deep reinforcement learning and learning method thereof,KR,G06F2117/12;G06N3/08;G06N3/0464;G06F30/27;G06F30/398;G06F30/392;G06N3/08;G06N3/0464;G06F30/27;G06F30/392;G06F30/392;G06F30/27;G06F30/398;G06N3/04;G06N3/08;G06F2117/12;G06F30/392;G06F30/392;G06F30/27;G06F30/398
Samsung,90574472,US-2024119211-A1,20240411,SAMSUNG ELECTRONICS CO LTD,Semiconductor design optimization systems and methods of operation thereof,US,H10D89/10;G06F2115/12;G06F2119/08;G06F30/23;G06F30/27;G06F30/392;G06F30/398;G06F30/392;G06N20/00;G06F30/392;G06N20/00;G06F30/392;G06F30/27;G06F30/23;G06F2119/08;G06N3/08;G06F30/398
Samsung,87074909,US-2024037307-A1,20240130,SAMSUNG ELECTRONICS CO LTD,Semiconductor device simulation system and method,US,G06N3/063;G06N3/042;G06F30/398;G06F30/367;G06N3/08;G06N3/045;G06N3/063;G06F30/367;G06F30/27;G06F30/398;G06N3/045;G06N3/09;G06N3/045;G06N3/08;G06F30/27;G06N3/045;G06N3/08;G06F2119/06;G06F30/27;G06N3/042;G06N3/08
Samsung,88569794,CN-117010320-A,20231107,SAMSUNG ELECTRONICS CO LTD,Layout method for semiconductor chip and method for manufacturing semiconductor chip,CN,G03F1/36;G03F1/70;G03F7/706841;G03F7/70666;G03F7/70533;G03F7/705;G06F30/398;G06T7/0006;G06T7/001;G06T7/70;G06F30/392;G06T2207/20076;G03F1/36;G06T2207/10032;G06T2207/10061;G06T2207/20081;G06T2207/30148;G03F1/70;G06F30/392;G06F30/398;G03F1/36;G03F1/70;G03F7/7065;G03F7/70441;G03F1/72;G06F30/392;G06N20/00;G06N3/0475;G06N3/094
Samsung,88239466,US-2023325577-A1,20231012,SAMSUNG ELECTRONICS CO LTD,"Method verifying process proximity correction using machine learning, and semiconductor manufacturing method using same",US,G06F30/398;G06F2119/02;G06F30/398;G06F2119/18;G06F2119/02;G06F30/398;G03F7/70441;G03F1/36;G06N20/00
Samsung,88189456,KR-20230134271-A,20230921,SAMSUNG ELECTRONICS CO LTD,Semiconductor process modeling method and device,KR,G06N20/10;G06F30/27;G06N20/20;H01L21/67253;G06N20/10;G06F30/27;H01L21/67253;G06N20/20
Samsung,87834614,US-2023281792-A1,20230905,SAMSUNG ELECTRONICS CO LTD,Operating method of electronic device including processor executing semiconductor layout simulation module based on machine learning,US,H10D89/10;G06F30/392;G06T11/00;G06F30/398;G06T7/001;G06T2207/20081;G06T2207/30148;G06F30/398;G06F30/392;G06F30/27;G06N20/00;G06F30/392;G06T7/001;G06N20/00;G06F2115/10;G06F2115/02;G06T2207/20081;G06T2207/30148;G06T7/001;G06T11/00;G06T3/40;G06F30/392;G06T2207/30148;G06T2207/20081;G06T7/001;G06T11/00;G06T2207/20081;G06F30/392;G06T2207/30148;G06T3/40
Samsung,87162004,TW-202334852-A,20230720,SAMSUNG ELECTRONICS CO LTD,Computer-implemented system and method for simulating layout of integrated circuit manufactured by semiconductor process,TW,H10D89/10;G06F2119/02;G06F30/367;G06F30/27;G06F30/398;G06F30/392;G06F30/392;G06F30/392;G06F2115/12;G06F30/398;G06F2119/02;G06F30/27;G06F30/367;G06F30/392;G06F17/18;G06N3/08;G06F2119/02;G06F30/398
Samsung,86742883,US-2023197460-A1,20230620,SAMSUNG ELECTRONICS CO LTD,Image-based semiconductor device patterning method using deep neural network,US,G03F7/70616;H01L21/308;G06V10/82;G06V10/46;G06T3/4007;H01L21/308;G06V10/82;G06V10/46;G03F7/70616;G06T3/4007;G06N3/084;G06N3/045;G06N3/0475;G06V10/82;G06V10/757;G06V10/752;G06V10/26;G06V30/422;G06V10/82;G06F30/392;G06F30/398;G03F7/70441;G03F1/36
Samsung,85798045,US-2023113207-A1,20230413,SAMSUNG ELECTRONICS CO LTD,Method of predicting characteristic of semiconductor device and computing device performing the same,US,G06F2119/18;G06N3/0464;G06F30/3308;G06F30/31;G06N3/09;G06F30/27;G06F2119/02;G06F2111/20;G06F30/3308;G06F30/31;G06F30/31;G06F30/3308;G06F2119/18;G06F30/27;G03F7/705;G06N3/0464;G06N3/09
Samsung,83228821,CN-115935886-A,20230301,SAMSUNG ELECTRONICS CO LTD,Method and apparatus for data exploration for semiconductor development,CN,G06F3/0481;G06F2111/06;G06F9/451;G06F2111/10;G06F16/904;G06F30/20;G06F17/18;G06N7/01
Samsung,85212965,KR-20230027585-A,20230221,SAMSUNG ELECTRONICS CO LTD,Method of predicting characteristic of semiconductor device and computing device performing the same,KR,G06N3/0464;G06N3/047;G06N3/047;G06N3/0464;G06N3/08;G06F2119/18;G06F30/367;G06F30/27;G06F2119/02;G06F2119/18;G06N3/047;G06N3/08;G06F2115/12;G06F30/27;G06N3/08;G06F30/367;G06F30/367;G06F2119/02;G06N3/08;G06F2115/12;G06F30/27;G06F2119/18;G06F30/367
Samsung,85225642,KR-20230016575-A,20230202,SAMSUNG ELECTRONICS CO LTD,Non-transitory computer-readable medium and computing device storing program code performing big data analysis for semiconductor fabrication,KR,G05B2219/45031;G05B2219/33034;G05B2219/32291;H01L21/67276;G06F30/27;G05B19/41865;G06F2119/02;G06N20/00;G06F2119/22;G06N3/08;G06F17/15;Y02P90/30;G06N3/08;G06N20/00;G06F2119/22;G06F30/27;G06F2119/02;G06F17/15
Samsung,84977110,CN-115701863-A,20230126,SAMSUNG ELECTRONICS CO LTD,Electronic apparatus for manufacturing semiconductor device and method of operating electronic apparatus,CN,H10D89/10;G06F30/392;H01L22/12;G06N20/00;H01L21/02041;Y10S715/964;G03F7/705;G03F7/70441;G06F2119/18;G03F7/705;G03F1/36;G03F7/70441;G06F30/398;G06F30/392;G06F30/27;G03F1/36
Samsung,84798928,TW-I853244-B,20230112,SAMSUNG ELECTRONICS CO LTD,Semiconductor process modeling system and method and semiconductor manufacturing system,TW,G06F30/27;G06F2119/18;H01L21/67253;G06N5/01;G06N20/20;G06F30/27;H01L21/67011;G06F30/398;G06N20/00;G06F30/398;G06N20/00
Samsung,82900541,US-2022268830-A1,20220825,SAMSUNG ELECTRONICS CO LTD,Method for predicting defect in semiconductor device,US,G06N7/01;G06N20/00;G01R31/2848;G06N20/00;H01L22/20;H10D1/68;G06F30/20;G01T1/24;G06N20/00;G01R31/2848;G01R31/2848;G06F30/20;G06N20/00;G01T1/24;H01L21/67288;G06T2207/20081;G06T7/0008;G06F2119/02;G06F30/25;G06N7/01;G06F2119/22;H01L22/20;H10B12/30
Samsung,81752524,US-12086526-B2,20220602,SAMSUNG ELECTRONICS CO LTD,Methods and devices of correcting layout for semiconductor processes using machine learning,US,G06N3/094;G06N3/0464;G06N3/0475;G06N3/09;G06N20/00;H10B43/27;H10B41/27;G06N20/00;H01L21/76802;H01L21/31116;G06N3/045;G03F7/705;G03F7/70441;G06F30/392;G06F30/398;G06F30/27;G06N3/08;G06F30/398;H01L21/31144;G06N20/20;G06N20/00;G06F30/398
Samsung,81362757,US-12182490-B2,20220505,SAMSUNG ELECTRONICS CO LTD,Semiconductor design automation system and computing system including the same,US,G06F30/12;G06F2119/02;G06F2111/18;G06F2119/18;G06F2119/02;G06N20/00;G06F30/31;G06F30/398;G06F30/31;G06N20/00;G06F2119/20;G06F2119/02;G06F30/398;G06F30/398;G06F30/27;G06F30/20;G06F2119/02;G06F30/12;G06F30/398
Samsung,81186405,US-2022121107-A1,20220421,SAMSUNG ELECTRONICS CO LTD,Method and computing device for manufacturing semiconductor device,US,G06N3/045;G06N3/0442;G06N3/0455;G06N3/09;H10D89/10;G06N20/10;G06N3/088;G03F1/36;G06N20/00;G06F30/398;G06F30/392;G06F30/392;G03F1/36;G06N20/00;G06F30/392;G03F1/36;G06N20/00
Samsung,81079242,US-12223246-B2,20220414,SAMSUNG ELECTRONICS CO LTD,"Systems, methods, and computer program products for transistor compact modeling using artificial neural networks",US,G06N3/0499;G06N3/082;G06N3/09;G06N3/08;G06F2119/02;G06N3/048;G06N3/084;G06F30/27;G06F30/367;G06N3/048;G06F30/367;G06F30/27;G06F30/367;G06F30/3308;G06N3/084;G06F2119/02;G06N3/08;G06F30/367
Samsung,80740472,US-11853660-B2,20220324,SAMSUNG ELECTRONICS CO LTD,System and method for modeling a semiconductor fabrication process,US,G06N3/0464;G06N3/09;G06N3/094;G06N3/0475;G06F2119/18;G06N3/045;G06N3/088;G06F30/27;G06N3/045;G06N3/08;G06F2119/02;G06F2119/18;G06F30/39;G06N3/084;G06F30/27;G06N20/00;G06N3/063;G06N3/047;G06N3/045;G06V10/422;G06N3/08;G06F2119/02;G06F2119/18;G06N3/045;G06N3/0475;G06F30/27
Samsung,80114978,KR-20220019894-A,20220210,SAMSUNG ELECTRONICS CO LTD,Simulation method for semiconductor manufacturing process and method for manufacturing semiconductor device,KR,G06N3/045;G06N3/045;G06N3/09;G06N3/0464;H10D89/10;G06F30/398;G06F30/27;G06N3/08;G06N3/126;H01L21/02;G06N3/08;G05B19/4183;G05B13/048;G05B13/042;G05B19/41885;G05B13/042;G05B13/027;G05B13/048;G05B13/042;H01L21/02;G06N3/08;G05B19/41885;G06N3/126;G05B19/4183;G06N3/0454;G06N3/045
Samsung,78222336,US-11763058-B2,20211028,SAMSUNG ELECTRONICS CO LTD,Method and computing device for manufacturing semiconductor device,US,G03F7/70441;H01L21/67276;G06F30/392;G06F30/398;G06F30/27;G03F7/705;G03F1/36;G06N20/00;G06N5/04;H01L22/12;G06T7/001;G06T7/11;G06T2207/20081;G06T2207/30148;G06N20/00;G06F2119/18;G03F7/70441;G06N5/04;G06F30/392;G03F7/70441;G06N5/04;G06N20/00;G06F2119/18
Samsung,75971304,US-2021158152-A1,20210527,SAMSUNG ELECTRONICS CO LTD,Simulation system for semiconductor process and simulation method thereof,US,G06N3/044;G06N3/044;G06N3/048;G06N3/08;G06N3/045;G06N3/09;G06N3/0464;G06N3/0442;G06N3/044;G06F30/39;G06F30/20;Y02P90/80;Y02P90/02;G06F30/27;G06F30/398;G06N3/08;G06F30/398;G06F30/27;G06F2119/18;G06F30/39;G05B19/41885;G05B23/02;G06N3/08;H01L21/02;G06N3/10;G06N3/0445;G06N3/08;G06N3/10
Samsung,75492385,US-11669773-B2,20210422,SAMSUNG ELECTRONICS CO LTD,Electronic devices generating verification vector for verifying semiconductor circuit and methods of operating the same,US,G06N3/088;G06N7/01;G06N3/045;G06F18/24133;G06F18/214;G06F9/3879;G06F30/3308;G06N20/00;G06N20/00;G06N20/00;G06N3/091;G06N3/0985;G06N3/0442;G06N3/0464;G06N3/09;G06F9/30036;G06F9/30036;G06F9/3879;G06F18/214;G06F30/3308;G06N20/00;G06F9/30036;G06F9/30036
Samsung,74682158,CN-112446167-A,20210304,SAMSUNG ELECTRONICS CO LTD,Method and electronic device for guiding semiconductor manufacturing process,CN,G06F18/24;G06N3/09;G06N3/0464;G06N3/0442;G06N20/00;G06N3/08;Y02P90/02;G06N20/00;G06F30/27;G06N3/02;G06F2119/18;G05B2219/45031;G05B19/4097;G05B2219/45031;G06N20/00;G05B19/4097
Samsung,71072674,KR-20200072302-A,20200622,SAMSUNG ELECTRONICS CO LTD,"Thickness prediction network learning method, semiconductor device manufacturing method, and semiconductor material deposition equipment",KR,G06N3/045;G06N3/048;G06N3/047;G06N3/0475;G06N3/0985;G06N3/094;G06N3/0499;G06N3/09;G06N3/088;G06N3/094;G06N3/0475;H01L22/12;G01B11/06;H01L22/24;H10B41/35;G06N3/08;C23C16/52;H10B69/00;H01L22/20;H01L22/12;C23C16/52;G06N3/08;H01L22/20;G06N3/08;G01B11/06;G06N3/0427;G06F30/20;H01L22/12;H01L22/24;H01L27/11524
Samsung,69178513,US-2020034693-A1,20200130,SAMSUNG ELECTRONICS CO LTD,Method for detecting defects in semiconductor device,US,G06T2207/30148;G06T7/0004;G06T2207/20084;G06T2207/20081;G06N3/047;G06N3/045;G06N3/045;G06F18/23213;G06N3/045;G06N3/08;G06F30/30;G06N3/08;G06N3/08;G06F17/5045;G06N3/0454;G06N3/0455;G06N3/09;G06N3/0464;G06N3/0895;G06T7/001;G01N21/8803;G06T2207/30148;G06T2207/20084;G06N3/08;G06T2207/20081;H01L22/20
Samsung,60911251,US-10726443-B2,20180111,SAMSUNG ELECTRONICS CO LTD,Deep product placement,US,G06V10/255;G06N3/0464;G06N3/09;G06V10/255;G06N20/00;G06N20/00;G06N3/08;G11B27/036;G06F2111/10;G06Q30/0641;G06Q30/0641;G06N3/08;G06Q30/0251;H04N9/8205;G11B27/036;G06Q30/0241;G06F30/20;G06Q30/0251;H04N9/8205;G06Q30/0241;G06N3/08;G06Q30/0241;G06K9/3241;H04N9/8205;G06Q30/0251;G06F30/20;G06N20/00;G06Q30/0641;G11B27/036;G06F2111/10
Siemens,94125956,US-2025005321-A1,20250102,SIEMENS IND SOFTWARE INC,Multi-branch neural networks for defect predictions in integrated circuit (ic) designs,US,G06N3/045;G06F30/392;G06N3/04;G06F30/392;G06N3/04;G06F30/392;G06N3/04
Siemens,89204088,CN-117272476-A,20231222,SIEMENS LTD CHINA,"Layout planning method, device, electronic equipment and storage medium",CN,G06F30/13;G06F30/27;G06Q10/043;G06Q50/04;G06N3/126;G06F2111/04
Siemens,89219254,CN-117272475-A,20231222,SIEMENS LTD CHINA,"Layout planning method, device, electronic equipment and storage medium",CN,Y02P90/30;G06F30/13;G06F30/27;G06Q10/043;G06Q50/04;G06N3/126;G06F2111/04
Siemens,78085732,WO-2023027721-A1,20230302,SIEMENS CORP,Placement et dimensionnement à actifs multiples pour un fonctionnement robuste de systèmes de distribution,WO,G06N3/092;G06F30/20;G06F30/20;G06F2113/04;G06F30/18;G06F30/392;H02J2203/20;G06Q10/063;G06Q50/06;H02J2203/10;H02J3/381
Siemens,85286141,US-12008300-B2,20230302,SIEMENS IND SOFTWARE INC,Machine learning-based unravel engine for integrated circuit packaging design,US,G06N20/00;G06F30/394;G06N3/09;G06F30/27;G06F30/394;G06F30/392;G06F30/392;G06F30/392;G06F30/394;G06N20/00
Siemens,85286723,US-2023064987-A1,20230302,SIEMENS IND SOFTWARE INC,Training of machine learning-based inverse lithography technology for mask synthesis with synthetic pattern generation,US,G06F2119/18;G06F30/27;G06F30/39;G06N20/00;G06F30/27;G06F30/392;H01L21/0337;G06N20/00;G06F30/392;G06F30/392;G05B19/40931;G05B2219/45027;G05B2219/33034;G06N20/00
Siemens,76641837,WO-2021247662-A1,20211209,SIEMENS CORP,Deep neural networks for synthesis and optimization of smooth surfaced 3d objects,WO,G06N3/047;G06N3/045;G06N3/08;G06N3/0475;G06N3/094;G06N3/0464;G06F30/27;G06F2113/28;G06F30/27;G06N3/094;G06N3/045;G06N3/0464;G06N3/0475
Synopsys,93037389,WO-2025072370-A1,20250327,SYNOPSYS INC,Custom layout recommendation using machine learning,WO,G06F2119/20;G06F30/36;G06F30/31;G06F30/394;G06F30/392;G06N3/04;G06F30/27
Synopsys,93123287,US-12124782-B1,20241022,SYNOPSYS INC,Machine learning-enabled estimation of path-based timing analysis based on graph-based timing analysis,US,G06N20/20;G06F30/27;G06N5/01;G06F2119/12;G06F30/3312;G06N5/01;G06F2119/12;G06F30/3312;G06F2119/12;G06N5/01;G06F30/3312
Synopsys,89168955,US-2023409791-A1,20231221,SYNOPSYS INC,Field-net for placement evaluation,US,G06F30/3323;G06N3/092;G06F30/3323;G06N3/092;G06F30/3323;G06N3/08;G06N3/0464
Synopsys,88979861,US-11836435-B1,20231205,SYNOPSYS INC,Machine learning based parasitic estimation for an integrated circuit chip design,US,G06F30/398;G06F30/394;G06N20/00;G06F2119/02;G06F30/398;G06F2119/02;G06N20/00;G06F30/394;G06F30/398;G06F30/394;G06F30/367;G06F30/27;G06F2119/10;G06N3/09;G06N3/0464
Synopsys,84230948,US-11514209-B1,20221129,SYNOPSYS INC,Semiconductor digital logic circuitry for non-quantum enablement of quantum algorithms,US,G06F2111/10;G06F30/20;G06F2111/10;G06N10/00;G06F30/20;G06N10/00;G06N10/00;G06N10/80;G06F30/20
Synopsys,79259408,CN-116438536-A,20220602,SYNOPSYS INC,Modeling timing behavior using extended sensitivity data of physical parameters,CN,G06F30/3312;G06F30/3312;G06F30/3312;G06F30/367;G06N20/00;G06F30/27;G06F30/3315;G06F30/367;G06F30/27;G06N20/00;G06F2119/12;G06F30/31;G06F30/3315;G06F2119/12
Synopsys,80269625,CN-114077817-A,20220222,SYNOPSYS INC,Improved comprehensive layout constraint based on physical time sequence analysis,CN,G06F30/392;G06F30/27;G06N20/00;G06F30/27;G06F2111/04;G06F30/392;G06N20/00;G06F2111/04;G06N20/00;G06F30/392
Synopsys,77389866,US-11100270-B1,20210824,SYNOPSYS INC,Pattern based die connector assignment using machine learning image recognition,US,G06V30/19173;G06V10/82;G06F30/392;G06F30/27;G06N3/045;G06V30/19173;G06N3/09;G06N3/096;G06N3/0464;G06F30/27;G06V10/82;G06N3/08;G06V30/242;G06V2201/06;G06F30/31;G06F30/392;G06N3/08;G06N3/08;G06F30/392;G06K9/6807;G06F30/27
Synopsys,73943339,US-2023375916-A1,20210617,SYNOPSYS INC,Inverse lithography and machine learning for mask synthesis,US,G06N3/0464;G06N3/09;G06N3/098;G06N3/0455;G03F1/70;G06F30/33;G06F30/39;G03F1/36;G03F1/76;G06N3/08;G03F1/36;G03F1/70;G03F1/70;G03F1/70;G03F7/705;G06N3/08;G03F7/70441;G06F30/398;G06N5/01;G06N3/045;G03F1/36;G03F7/70441;G03F7/705;G06N20/10;G06N3/08;G06N3/045;G06F30/33;G06F30/39;G03F1/36;G03F1/76;G06N3/08
